clock,website_events,server_events,PC1
2024-10-01 18:24:00,0.0,0.0,-2852228879.8921747
2024-10-01 18:25:00,0.0,0.0,-2852198946.3329773
2024-10-01 18:26:00,0.0,0.0,-2852181442.9846563
2024-10-01 18:27:00,0.0,0.0,-2852173696.539055
2024-10-01 18:28:00,0.0,0.0,-2852721185.445195
2024-10-01 18:29:00,0.0,0.0,-2853275248.1286573
2024-10-01 18:30:00,0.0,0.0,-2853411853.5712233
2024-10-01 18:31:00,0.0,0.0,-2853809155.104373
2024-10-01 18:32:00,0.0,0.0,-2853850745.442075
2024-10-01 18:33:00,0.0,0.0,-2853886120.305603
2024-10-01 18:34:00,0.0,0.0,-2853878274.975442
2024-10-01 18:35:00,0.0,0.0,-2853858831.0365667
2024-10-01 18:36:00,0.0,0.0,-2853823664.873152
2024-10-01 18:37:00,0.0,0.0,-2853802006.632682
2024-10-01 18:38:00,0.0,0.0,-2853486200.242777
2024-10-01 18:39:00,0.0,0.0,-2853180843.1831408
2024-10-01 18:40:00,0.0,0.0,-2853083229.873481
2024-10-01 18:41:00,0.0,0.0,-2852858118.938671
2024-10-01 18:42:00,0.0,0.0,-2852829789.4924946
2024-10-01 18:43:00,0.0,0.0,-2852796013.3794184
2024-10-01 18:44:00,0.0,0.0,-2852799822.8036757
2024-10-01 18:45:00,0.0,0.0,-2852798289.448354
2024-10-01 18:46:00,0.0,0.0,-2852803060.2904224
2024-10-01 18:47:00,0.0,0.0,-2852801492.703698
2024-10-01 18:48:00,0.0,0.0,-2852806366.3259506
2024-10-01 18:49:00,0.0,0.0,-2852809969.794153
2024-10-01 18:50:00,0.0,0.0,-2852818227.9620914
2024-10-01 18:51:00,0.0,0.0,-2852832369.3170576
2024-10-01 18:52:00,0.0,0.0,-2852833993.757619
2024-10-01 18:53:00,0.0,0.0,-2852840208.933256
2024-10-01 18:54:00,0.0,0.0,-2852845185.2332735
2024-10-01 18:55:00,0.0,0.0,-2852845126.5459614
2024-10-01 18:56:00,0.0,0.0,-2852843901.991308
2024-10-01 18:57:00,0.0,0.0,-2852847814.343459
2024-10-01 18:58:00,0.0,0.0,-2852851624.1789026
2024-10-01 18:59:00,0.0,0.0,-2852855811.42146
2024-10-01 19:00:00,0.0,0.0,-2852859518.9987316
2024-10-01 19:01:00,0.0,0.0,-2852858156.8879604
2024-10-01 19:02:00,0.0,0.0,-2852862516.169569
2024-10-01 19:03:00,0.0,0.0,-2852866119.5978794
2024-10-01 19:04:00,0.0,0.0,-2852869242.2604446
2024-10-01 19:05:00,0.0,0.0,-2852872881.02269
